0.5,25.0,700.0,3.36e-06,125.0
0.5,50.0,700.0,2.0100000000000001e-05,125.0
0.5,75.0,750.0,9.7600000000000001e-05,125.0
0.5,100.0,1075.0,0.00019939799999999999,200.0
1.0,25.0,900.0,3.9700000000000003e-05,175.0
1.0,50.0,825.0,6.3300000000000004e-06,175.0
1.0,75.0,600.0,0.00015011500000000001,100.0
1.0,100.0,700.0,9.3599999999999998e-05,150.0
2.5,25.0,700.0,9.4099999999999997e-05,225.0
2.5,50.0,625.0,8.2700000000000004e-05,125.0
2.5,75.0,900.0,2.16e-05,175.0
2.5,100.0,875.0,4.5399999999999999e-05,200.0
5.0,25.0,675.0,0.000107532,125.0
5.0,50.0,900.0,0.000119398,150.0
5.0,75.0,750.0,6.7899999999999997e-05,200.0
5.0,100.0,850.0,3.9900000000000001e-05,225.0
0.5,25.0,700.0,3.36e-06,125.0
0.5,50.0,700.0,2.0100000000000001e-05,125.0
0.5,75.0,750.0,9.7600000000000001e-05,125.0
0.5,100.0,1075.0,0.00019939799999999999,200.0
1.0,25.0,900.0,3.9700000000000003e-05,175.0
1.0,50.0,825.0,6.3300000000000004e-06,175.0
1.0,75.0,600.0,0.00015011500000000001,100.0
1.0,100.0,700.0,9.3599999999999998e-05,150.0
2.5,25.0,700.0,9.4099999999999997e-05,225.0
2.5,50.0,625.0,8.2700000000000004e-05,125.0
2.5,75.0,900.0,2.16e-05,175.0
2.5,100.0,875.0,4.5399999999999999e-05,200.0
5.0,25.0,675.0,0.000107532,125.0
5.0,50.0,900.0,0.000119398,150.0
5.0,75.0,750.0,6.7899999999999997e-05,200.0
5.0,100.0,850.0,3.9900000000000001e-05,225.0
0.5,25.0,700.0,3.36e-06,125.0
0.5,50.0,700.0,2.0100000000000001e-05,125.0
0.5,75.0,750.0,9.7600000000000001e-05,125.0
0.5,100.0,1075.0,0.00019939799999999999,200.0
1.0,25.0,900.0,3.9700000000000003e-05,175.0
1.0,50.0,825.0,6.3300000000000004e-06,175.0
1.0,75.0,600.0,0.00015011500000000001,100.0
1.0,100.0,700.0,9.3599999999999998e-05,150.0
2.5,25.0,700.0,9.4099999999999997e-05,225.0
2.5,50.0,625.0,8.2700000000000004e-05,125.0
2.5,75.0,900.0,2.16e-05,175.0
2.5,100.0,875.0,4.5399999999999999e-05,200.0
5.0,25.0,675.0,0.000107532,125.0
5.0,50.0,900.0,0.000119398,150.0
5.0,75.0,750.0,6.7899999999999997e-05,200.0
5.0,100.0,850.0,3.9900000000000001e-05,225.0
