Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO2 end point,Mole fraction NO end point,Mole fraction N2O end point
100, ,2.77E-08,0.000499797,0
550,0.000749738,0,0.000499821,0
575,0.000749737,0,0.000499821,0
600,0.000749737,0,0.000499821,0
625,0.000749736,0,0.000499819,0
650,0.000749734,0,0.000499816,0
675,0.000749727,0,0.000499807,0
700,0.000749713,1.41E-08,0.000499785,0
725,0.000749674,2.82E-08,0.000499731,0
750,0.000749556,6.52E-08,0.000499575,0
775,0.000749014,2.07E-07,0.000498883,0
800,0.000716802,4.98E-06,0.000462509,1.03E-07
825,0.000525809,9.91E-06,0.000280645,2.62E-06
850,0.000282682,4.45E-06,7.02E-05,8.79E-06
875,0.00014852,2.29E-07,6.66E-06,6.81E-06
900,3.32E-05,3.75E-07,8.72E-06,3.42E-06
925,2.22E-10,7.62E-07,2.14E-05,5.89E-06
950,2.85E-11,7.69E-07,3.50E-05,8.47E-06
975,7.44E-12,8.59E-07,5.68E-05,1.01E-05
1000,4.99E-12,1.01E-06,8.90E-05,9.84E-06
1025,3.46E-12,1.16E-06,0.000130798,7.83E-06
1050,2.41E-12,1.23E-06,0.000179306,4.92E-06
1075,1.71E-12,1.16E-06,0.000231276,2.33E-06
1100,1.15E-12,9.96E-07,0.00028408,7.85E-07
1125,7.53E-13,8.47E-07,0.000335918,1.84E-07
1150,4.51E-13,7.83E-07,0.000385694,4.23E-08
1175,2.30E-13,7.77E-07,0.000432875,2.50E-08
1200,9.25E-14,7.84E-07,0.000477233,2.56E-08
1225,2.71E-14,7.86E-07,0.000518685,2.82E-08
1250,5.29E-15,7.83E-07,0.000557226,3.13E-08
