Temperature C1 PFR PFR (C1)_(C),Mole fraction NH3 end point,Mole fraction NO end point,Mole fraction NO2 end point,Mole fraction N2O end point
        100.0000000000000,    0.0004499861000000000,    0.0002249925000000000,       0.0000000000000000,       0.0000000000000000
        550.0000000000000,    0.0004499860000000000,    0.0002249929000000000,       0.0000000000000000,       0.0000000000000000
        575.0000000000000,    0.0004499860000000000,    0.0002249929000000000,       0.0000000000000000,       0.0000000000000000
        600.0000000000000,    0.0004499860000000000,    0.0002249929000000000,       0.0000000000000000,       0.0000000000000000
        625.0000000000000,    0.0004499860000000000,    0.0002249928000000000,       0.0000000000000000,       0.0000000000000000
        650.0000000000000,    0.0004499858000000000,    0.0002249926000000000,       0.0000000000000000,       0.0000000000000000
        675.0000000000000,    0.0004499854000000000,    0.0002249920000000000,       0.0000000000000000,       0.0000000000000000
        700.0000000000000,    0.0004499844000000000,    0.0002249905000000000,       0.0000000000000000,       0.0000000000000000
        725.0000000000000,    0.0004499812000000000,    0.0002249861000000000,       0.0000000000000000,       0.0000000000000000
        750.0000000000000,    0.0004499679000000000,    0.0002249686000000000,       0.0000000000000000,       0.0000000000000000
        775.0000000000000,    0.0004497425000000000,    0.0002246795000000000,   7.174375000000000E-008,       0.0000000000000000
        800.0000000000000,    0.0004330414000000000,    0.0002050905000000000,   3.319275000000000E-006,   9.537094000000000E-008
        825.0000000000000,    0.0004040409000000000,    0.0001758023000000000,   5.318714000000000E-006,   5.634839000000000E-007
        850.0000000000000,    0.0003608120000000000,    0.0001365126000000000,   5.516179000000000E-006,   1.696505000000000E-006
        875.0000000000000,    0.0002943931000000000,   8.179492999999999E-005,   3.883001000000000E-006,   4.165845000000000E-006
        900.0000000000000,    0.0002132285000000000,   3.149292000000000E-005,   1.176694000000000E-006,   7.937659000000000E-006
        925.0000000000000,    0.0001168432000000000,   1.684627000000000E-005,   3.600099000000000E-007,   1.016112000000000E-005
        950.0000000000000,   3.072837000000000E-005,   2.555585000000000E-005,   6.635603000000000E-007,   1.391994000000000E-005
        975.0000000000000,   4.016573000000000E-006,   4.224696000000000E-005,   1.056647000000000E-006,   1.929256000000000E-005
        1000.000000000000,   6.978831000000000E-007,   6.641497000000001E-005,   1.196039000000000E-006,   2.333794000000000E-005
        1025.000000000000,   1.606409000000000E-007,   9.469153000000000E-005,   1.270801000000000E-006,   2.538933000000000E-005
        1050.000000000000,   3.501369000000000E-008,    0.0001244097000000000,   1.331444000000000E-006,   2.535928000000000E-005
        1075.000000000000,   6.355159000000000E-009,    0.0001542183000000000,   1.384876000000000E-006,   2.338400000000000E-005
        1100.000000000000,   8.699868000000000E-010,    0.0001833516000000000,   1.415011000000000E-006,   1.981025000000000E-005
        1125.000000000000,   9.190766000000000E-011,    0.0002112939000000000,   1.401195000000000E-006,   1.525118000000000E-005
        1150.000000000000,   8.551364000000000E-012,    0.0002376850000000000,   1.330527000000000E-006,   1.047618000000000E-005
        1175.000000000000,   1.121693000000000E-011,    0.0002622916000000000,   1.202840000000000E-006,   6.284853000000000E-006
        1200.000000000000,   1.349733000000000E-014,    0.0002850496000000000,   1.032545000000000E-006,   3.207236000000000E-006
        1225.000000000000,   1.609174000000000E-015,    0.0003060054000000000,   8.483823000000000E-007,   1.354907000000000E-006
        1250.000000000000,   9.195833000000000E-014,    0.0003252470000000000,   6.852078000000001E-007,   4.701911000000000E-007
